Date,CLOSE
2021-08-11,45.828
2021-08-12,45.838
2021-08-13,44.592
2021-08-16,47.907
2021-08-17,46.89
2021-08-18,45.261
2021-08-19,40.199
2021-08-20,42.139
2021-08-23,41.781
2021-08-24,44.583
2021-08-25,45.19
2021-08-26,45.645
2021-08-27,47.406
2021-08-30,49.17
2021-08-31,50.436
2021-09-01,49.829
2021-09-02,51.964
2021-09-03,51.423
2021-09-06,52.599
2021-09-07,53.674
2021-09-08,55.0
2021-09-09,56.1
2021-09-10,57.36
2021-09-13,60.981
2021-09-14,65.33
2021-09-15,70.378
2021-09-16,61.2
2021-09-17,64.217
2021-09-20,74.628
2021-09-21,73.653
2021-09-22,71.235
2021-09-23,69.163
2021-09-24,71.901
2021-09-27,76.592
2021-09-28,78.436
2021-09-29,85.52
2021-09-30,96.715
2021-10-01,93.32
2021-10-04,95.95
2021-10-05,115.3
2021-10-06,108.525
2021-10-07,96.509
2021-10-08,86.536
2021-10-11,84.74
2021-10-12,85.115
2021-10-13,92.702
2021-10-14,101.777
2021-10-15,93.32
2021-10-18,93.271
2021-10-19,89.93
2021-10-20,93.097
2021-10-21,88.293
2021-10-22,86.5
2021-10-25,88.3
2021-10-26,87.55
2021-10-27,86.169
2021-10-28,76.06
2021-10-29,63.951
2021-11-01,65.3
2021-11-02,66.793
2021-11-03,75.744
2021-11-04,72.686
2021-11-05,73.317
2021-11-08,78.141
2021-11-09,72.156
2021-11-10,70.183
2021-11-11,73.952
2021-11-12,74.722
2021-11-15,79.247
2021-11-16,93.39
2021-11-17,94.136
2021-11-18,94.446
2021-11-19,87.0
2021-11-22,83.471
2021-11-23,90.644
2021-11-24,93.318
2021-11-25,92.744
2021-11-26,87.349
2021-11-29,93.367
2021-11-30,93.335
2021-12-01,95.718
2021-12-02,94.287
2021-12-03,89.685
2021-12-06,89.795
2021-12-07,95.224
2021-12-08,101.057
2021-12-09,99.96
2021-12-10,104.864
2021-12-13,115.283
2021-12-14,126.545
2021-12-15,132.038
2021-12-16,141.497
2021-12-17,135.026
2021-12-20,146.294
2021-12-21,180.609
2021-12-22,172.463
2021-12-23,132.119
2021-12-24,110.92
2021-12-27,105.238
2021-12-28,105.79
2021-12-29,95.775
2021-12-30,86.63
2021-12-31,72.9
2022-01-03,80.085
2022-01-04,89.141
2022-01-05,92.025
2022-01-06,96.29
2022-01-07,89.02
2022-01-10,85.523
2022-01-11,78.899
2022-01-12,75.936
2022-01-13,85.763
2022-01-14,86.876
2022-01-17,77.345
2022-01-18,78.735
2022-01-19,76.332
2022-01-20,75.384
2022-01-21,77.2
2022-01-24,91.35
2022-01-25,92.25
2022-01-26,89.88
2022-01-27,91.068
2022-01-28,90.57
2022-01-31,83.237
2022-02-01,74.731
2022-02-02,76.541
2022-02-03,79.191
2022-02-04,81.441
2022-02-07,78.341
2022-02-08,76.196
2022-02-09,73.391
2022-02-10,73.6
2022-02-11,76.0
2022-02-14,79.904
2022-02-15,68.133
2022-02-16,68.681
2022-02-17,73.258
2022-02-18,72.662
2022-02-21,71.18
2022-02-22,78.233
2022-02-23,86.985
2022-02-24,133.046
2022-02-25,92.068
2022-02-28,98.193
2022-03-01,121.202
2022-03-02,166.322
2022-03-03,159.518
2022-03-04,191.591
2022-03-07,224.613
2022-03-08,211.448
2022-03-09,152.663
2022-03-10,121.794
2022-03-11,132.311
2022-03-14,108.25
2022-03-15,109.301
2022-03-16,97.589
2022-03-17,101.9
2022-03-18,102.017
2022-03-21,94.205
2022-03-22,96.445
2022-03-23,113.73
2022-03-24,107.038
2022-03-25,99.95
2022-03-28,99.443
2022-03-29,104.825
2022-03-30,115.1
2022-03-31,120.3
2022-04-01,108.11
2022-04-04,104.75
2022-04-05,103.767
2022-04-06,100.42
2022-04-07,97.55
2022-04-08,96.81
2022-04-11,93.38
2022-04-12,94.985
2022-04-13,95.61
2022-04-14,83.852
2022-04-19,81.875
2022-04-20,82.01
2022-04-21,86.85
2022-04-22,81.83
2022-04-25,78.6
2022-04-26,87.25
2022-04-27,92.3
2022-04-28,75.18
2022-04-29,80.11
2022-05-02,79.912
2022-05-03,83.395
2022-05-04,88.38
2022-05-05,90.15
2022-05-06,84.393
2022-05-09,79.75
2022-05-10,82.27
2022-05-11,76.56
2022-05-12,88.746
2022-05-13,79.334
2022-05-16,74.99
2022-05-17,77.46
2022-05-18,80.85
2022-05-19,80.0
2022-05-20,75.1
2022-05-23,79.04
2022-05-24,77.05
2022-05-25,80.78
2022-05-26,78.28
2022-05-27,80.133
2022-05-30,80.47
2022-05-31,82.163
2022-06-01,73.169
2022-06-02,70.97
2022-06-03,70.379
2022-06-06,69.932
2022-06-07,67.867
2022-06-08,72.131
2022-06-09,80.635
2022-06-10,77.654
2022-06-13,77.899
2022-06-14,91.353
2022-06-15,110.222
2022-06-16,112.564
2022-06-17,105.255
2022-06-20,107.804
2022-06-21,113.214
2022-06-22,116.29
2022-06-23,120.931
2022-06-24,116.001
2022-06-27,115.928
2022-06-28,115.406
2022-06-29,123.2
2022-06-30,127.15
2022-07-01,123.8
2022-07-04,138.0
2022-07-05,141.855
2022-07-06,146.6
2022-07-07,157.0
2022-07-08,142.0
2022-07-11,133.598
2022-07-12,141.323
2022-07-13,142.412
2022-07-14,131.5
2022-07-15,104.92
2022-07-18,107.25
2022-07-19,112.0
2022-07-20,120.0
2022-07-21,133.275
2022-07-22,127.461
2022-07-25,133.25
2022-07-26,143.0
2022-07-27,148.252
2022-07-28,138.55
2022-07-29,135.895
2022-08-01,139.5
2022-08-02,142.957
2022-08-03,143.75
2022-08-04,139.0
2022-08-05,138.0
2022-08-08,135.112
2022-08-09,140.3
2022-08-10,152.0
2022-08-11,156.641
2022-08-12,146.0
2022-08-15,158.5
2022-08-16,160.0
2022-08-17,161.2
2022-08-18,176.6
2022-08-19,182.2
2022-08-22,206.5
2022-08-23,203.0
2022-08-24,226.2
2022-08-25,237.0
2022-08-26,244.0
2022-08-29,197.442
